ty_code,ty_name_en,ty_name_ch,land_address,land_time,land_lng,land_lat,land_info,land_strong
201607,CHANTHU,灿都,日本北海道,2016-08-17 16:30:00,143.4,42.6,7号台风“灿都”于8月17日16时30分前后登陆日本北海道。,热带风暴
201608,DIANMU,电母,广东湛江雷州东里镇,2016-08-18 15:40:00,110.41,20.65,8月18日15时40分，“电母”登陆广东湛江东里镇沿海,热带风暴
201609,MINDULLE,蒲公英,日本千叶县附近沿海,2016-08-22 11:30:00,140.05,35.37,台风“蒲公英”8月22日上午11时30分登陆日本千叶县附近,强热带风暴
201612,NAMTHEUN,南川,日本九州岛长崎市长崎县,2016-09-05 00:00:00,129.7,32.8,台风“南川”5日凌晨0时前后在日本九州岛长崎市长崎县附近沿海登陆,热带风暴
201614,MERANTI,莫兰蒂,福建厦门翔安区,2016-09-15 03:05:00,118.3,24.5,"台风""莫兰蒂""15日3时5分登陆福建厦门翔安区",强台风
201616,MALAKAS,马勒卡,日本九州岛鹿儿岛县,2016-09-19 23:00:00,130.69,31.1,"台风“马勒卡”19日2
3时前后在日本九州岛鹿
台风“马勒卡”19日23时前后在日本九州岛鹿儿岛县大隅半岛沿海登陆",强台风
201617,MEGI,鲇鱼,台湾花莲沿海,2016-09-27 14:10:00,121.6,24.0,台风“鲇鱼”9月27日14时10分前后在台湾省花莲沿海登陆,强台风
201617,MEGI,鲇鱼,泉州市惠安县,2016-09-28 04:40:00,118.9,25.0,台风“鲇鱼”9月28日4时40分前后以台风级登陆泉州市惠安县沿海,台风
201621,SARIKA,莎莉嘉,菲律宾吕宋岛东部沿海,2016-10-16 02:20:00,121.59,15.79,台风“莎莉嘉”10月16日2时20分前后在菲律宾吕宋岛东部沿海登陆,超强台风
201621,SARIKA,莎莉嘉,海南省万宁市和东镇沿海,2016-10-18 09:50:00,110.4,18.8,台风“莎莉嘉”10月18日上午9点50分前后在海南省万宁市和东镇沿海登陆,强台风
201621,SARIKA,莎莉嘉,广西防城港东兴市沿海,2016-10-19 14:10:00,108.18,21.52,台风“莎莉嘉”10月19日14点10分前后在广西防城港东兴市沿海登陆,强热带风暴
201622,HAIMA,海马,菲律宾吕宋岛东北部,2016-10-19 23:40:00,122.1,17.6,台风“海马”10月19日23时40分前后登陆菲律宾吕宋岛东北部,强台风
201622,HAIMA,海马,广东汕尾鮜门镇沿海,2016-10-21 12:40:00,115.3,22.8,台风“海马”10月21日12时40分前后登陆广东汕尾鮜门镇沿海,强台风
201702,MERBOK,苗柏,广东深圳大鹏半岛,2017-06-12 23:00:00,114.5,22.5,台风“苗柏”6月12日23时前后在广东深圳大鹏半岛登陆,热带风暴
201703,NANMADOL,南玛都,日本长崎半岛西部沿海,2017-07-04 07:40:00,129.86,32.71,台风南玛都7月4日上午7时40分前后登陆日本长崎半岛西部沿海,强热带风暴
201704,TALAS,塔拉斯,越南义安沿海,2017-07-17 02:00:00,105.01,18.5,台风“拉塔斯”7月17日以强热带风暴级登陆越南义安沿海,强热带风暴
201705,NORU,奥鹿,日本四国岛室户市沿海,2017-08-07 09:00:00,134.04,33.37,台风“奥鹿”于8月7日9时左右在日本四国岛室户市沿海登陆,台风
201705,NORU,奥鹿,日本,2017-08-07 16:00:00,135.0,34.0,台风“奥鹿”于8月7日下午在日本再次登陆,强热带风暴
201707,ROKE,洛克,香港东北部沿海,2017-07-23 09:50:00,114.4,22.4,台风“洛克”已于7月23日9点50分在香港东北部沿海登陆,热带风暴
201708,SONCA,桑卡,越南广平省,2017-07-25 16:30:00,107.1,17.1,台风“桑卡”7月25日16时30分在越南广平省登陆,热带风暴
201709,NESAT,纳沙,台湾宜兰,2017-07-29 19:40:00,121.81,24.69,台风“纳沙”29日19时40分前后在台湾省宜兰登陆,台风
201709,NESAT,纳沙,福建福清,2017-07-30 06:00:00,119.69,25.41,台风“纳沙”30日06时前后在福建福清登陆,台风
201710,Haitang,海棠,台湾屏东,2017-07-30 17:30:00,120.5,22.11,台风“海棠”7月30日17时30分前后在台湾省屏东沿海登陆,热带风暴
201710,Haitang,海棠,福建福清,2017-07-31 02:50:00,119.6,25.5,台风“海棠”7月31日凌晨02时50分前后在福建福清沿海登陆,热带风暴
201713,Hato,天鸽,广东珠海,2017-08-23 12:50:00,113.2,22.0,于8月23日12时50分在广东珠海南部沿海登陆,台风
201714,Pakhar,帕卡,菲律宾吕宋东北部沿海,2017-08-25 21:15:00,122.1,16.14,“帕卡”于25日21时15分左右登陆菲律宾吕宋东北部沿海,热带风暴
201714,Pakhar,帕卡,广东台山东南部沿海,2017-08-27 09:00:00,113.0,22.0,“帕卡”于27日9时左右登陆广东台山东南部沿海,台风
201716,MAWAR,玛娃,广东汕尾陆丰市,2017-09-03 21:30:00,115.67,22.9,台风“玛娃”3日21时30分前后登陆广东汕尾陆丰市,热带风暴
201718,TALIM,泰利,日本鹿儿岛县南九州市沿海,2017-09-17 10:30:00,130.5,31.3,“泰利”于9月17日10点30分登陆日本鹿儿岛县南九州市沿海,强热带风暴
201719,DOKSURI,杜苏芮,越南广平,2017-09-15 12:15:00,106.41,17.8,台风“杜苏芮”9月15日12时15份前后登陆越南广平,强台风
201720,KHANUN,卡努,菲律宾吕宋岛北部沿海,2017-10-13 03:00:00,122.11,18.11,台风“卡努”13日凌晨3点钟前后在菲律宾吕宋岛北部沿海登陆,热带风暴
201720,KHANUN,卡努,广东湛江,2017-10-16 03:25:00,110.5,20.59,台风“卡努”16日凌晨3时25分前后在广东湛江徐闻沿海登陆,强热带风暴
201721,LAN,兰恩,日本静冈县御前崎市,2017-10-23 02:00:00,138.14,34.78,台风“兰恩”10月23日凌晨2点钟在日本静冈县御前崎市登陆,台风
201723,DAMREY,达维,越南庆和省北部沿海,2017-11-04 06:10:00,109.21,12.7,台风“达维”4日早晨6点10分前后在越南庆和省北部沿海登陆,强台风
201804,EWINIAR,艾云尼,广东徐闻,2018-06-06 06:25:00,110.5,20.7,台风“艾云妮”6日早晨6时25分前后在广东徐闻登陆,热带风暴
201804,EWINIAR,艾云尼,海南海口,2018-06-06 14:50:00,110.2,20.1,台风“艾云妮”6月6日14时50分再次登陆海南海口,热带风暴
201804,EWINIAR,艾云尼,广东阳江沿海,2018-06-07 20:30:00,111.91,21.6,台风“艾云妮”7日20时30分前后在广东阳江沿海再次登陆,热带风暴
201808,MARIA,玛莉亚,福建连江,2018-07-11 09:10:00,119.85,26.4,台风“玛莉亚”7月11日9时10分登陆福建连江黄岐半岛沿海,强台风
201809,SON-TINH,山神,海南万宁,2018-07-18 04:50:00,110.5,18.8,台风“山神”于7月18日早晨4时50分前后在海南万宁市万成镇登陆,热带风暴
201810,AMPIL,安比,上海崇明,2018-07-22 12:30:00,121.86,31.52,“安比”于7月22日12时30分前后在上海市崇明岛沿海登陆,强热带风暴
201812,JONGDARI,云雀,日本本州岛南部,2018-07-29 05:00:00,134.6,34.8,“云雀”于7月29日凌晨在日本本州岛南部登陆,强热带风暴
201812,JONGDARI,云雀,上海金山沿海,2018-08-03 10:30:00,121.32,30.72,“云雀”于8月3日10时30分上海金山沿海登陆,热带风暴
201814,YAGI,摩羯,浙江温岭沿岸,2018-08-12 23:35:00,121.44,28.29,“摩羯”于8月12日23时35分前后在浙江温岭沿岸登陆,强热带风暴
